checked_at_utc,target_month_label,target_month_price_twd,target_month_seen,exact_match_price_twd,exact_match_note,nearby_price_twd,nearby_departure,nearby_return
2026-08-26T15:16:46Z,December 2026,9622.0,1 day(s) ago,,,,,
2026-08-26T15:48:26Z,December 2026,9622.0,1 day(s) ago,,,,,
2026-08-26T16:45:32Z,December 2026,9622.0,1 day(s) ago,,,,,
2026-08-28T00:43:56Z,December 2026,9615.0,32 minute(s) ago,,,,,
2026-08-29T00:22:25Z,December 2026,9597.0,7 minute(s) ago,,,,,
2026-08-29T19:09:05Z,December 2026,9597.0,18 hr(s) ago,,,,,
2026-08-30T19:01:05Z,December 2026,9597.0,20 hr(s) ago,,,,,
2026-08-31T21:17:08Z,December 2026,9597.0,21 hr(s) ago,,,,,
2026-09-01T19:10:46Z,December 2026,9826.0,19 hr(s) ago,,,,,
2026-09-02T19:11:50Z,December 2026,9830.0,13 hr(s) ago,,,,,
2026-09-03T19:03:59Z,December 2026,9830.0,13 hr(s) ago,,,,,
2026-09-04T18:47:24Z,December 2026,9827.0,18 hr(s) ago,,,,,
2026-09-05T17:53:19Z,December 2026,9841.0,13 hr(s) ago,,,,,
2026-09-06T17:58:37Z,December 2026,9841.0,18 hr(s) ago,,,,,
2026-09-07T19:34:13Z,December 2026,10001.0,18 hr(s) ago,,,,,
2026-09-08T19:14:15Z,December 2026,9994.0,9 hr(s) ago,,,,,
2026-09-09T19:02:40Z,December 2026,9981.0,2 hr(s) ago,,,,,
2026-09-10T18:55:04Z,December 2026,9981.0,18 hr(s) ago,,,,,
